SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
KL32,-32.1239,117.7796,374,16.3,353,5.6,0.6,0.034,29,0.08,2.8,1.8,95.4,9
KL33,-32.1233,117.7753,377,16.3,353,6.3,1.75,0.066,51,0.1,1.8,2,96.2,2
KL34,-32.1227,117.7692,377,16.3,354,5.5,0.55,0.027,22,0.06,1.3,1.6,97.1,9
KL35,-32.1239,117.7554,373,16.3,354,5.8,1.19,0.04,29,0.1,2.3,1.3,96.4,1
KL36,-32.1127,117.7548,367,16.4,351,5.9,0.54,0.025,25,0.1,3.4,2,94.6,9
KL37,-32.1204,117.7631,375,16.3,354,5.6,0.58,0.025,22,0.07,2.3,1.3,96.4,9
KL38,-32.1168,117.758,373,16.3,353,5.9,0.88,0.037,21,0.02,3.9,0.7,95.4,9
KL39,-32.1169,117.749,362,16.4,351,6.3,1.53,0.064,52,0.17,5.6,3.6,90.8,1
KL40,-32.1078,117.7514,361,16.4,350,5.5,0.42,0.023,20,0.06,3.8,2.3,93.8,2
KL41,-32.1009,117.7534,354,16.5,348,6.7,1.2,0.066,50,0.22,5,3.4,91.6,1
KL42,-32.1037,117.749,353,16.5,348,5.7,1.26,0.048,34,0.1,3.3,1.6,95.1,2
KL43,-32.103,117.7548,358,16.4,349,6.3,2.01,0.092,66,0.27,4.2,2.7,93.1,2
KL44,-32.114,117.7759,376,16.3,353,6,1.98,0.08,88,0.25,3.4,1.4,95.2,2
KL45,-32.1081,117.7976,360,16.4,348,6,0.98,0.05,28,0.08,3.4,1.2,95.4,9
KL46,-32.118,117.7698,376,16.3,353,6.1,1.12,0.059,38,0.11,3.2,2.7,94.1,5
KL47,-32.1108,117.7859,369,16.4,350,6.6,1.88,0.086,62,0.21,24.3,0,79.6,2
KL48,-32.108,117.7896,366,16.4,349,6,0.96,0.056,52,0.13,5.4,3.4,91.1,2
KL49,-32.1165,117.8027,358,16.4,348,6.2,2.36,0.109,120,0.41,3.4,1.4,95.2,1
KL50,-32.1195,117.7909,366,16.4,350,6,2.04,0.1,56,0.19,3.1,2.2,94.8,7
KN01,-32.6747,118.3361,268,16.4,331,6.2,1.72,0.093,67,0.24,1.7,3.2,95.1,2
KN02,-32.7208,118.2831,288,16.3,338,5.7,0.51,0.02,16,0.05,3.2,1.5,95.3,9
KN03,-32.7369,118.2711,320,16.1,345,5.7,0.45,0.02,15,0.12,2.4,1.1,96.5,5
KN04,-32.9422,118.3036,324,15.9,341,6.3,0.9,0.03,25,0.15,1.3,2.9,95.9,7
KN05,-32.4997,118.5514,323,16.4,334,6.1,0.85,0.053,42,0.32,2.6,5.2,92.2,3
